polyname,bound1,bound2,bound3,bound4,iso,adm1,adm2,thresh,loss_year,area
landmark,1,1,1,1,BRA,12,9,30,9,1519.70544437
wdpa,1,1,1,1,BRA,12,9,75,14,3272051.18736
ifl_2013__wdpa,1,1,1,1,BRA,12,9,75,8,773795.498492
ifl_2013,1,1,1,1,BRA,12,9,50,5,3041.57296753
ifl_2013__landmark,1,1,1,1,BRA,12,9,50,8,7605.66115457
wdpa,1,1,1,1,BRA,12,9,50,3,218872.321223
ifl_2013__landmark,1,1,1,1,BRA,12,9,50,7,12168.919527
wdpa,1,1,1,1,BRA,12,9,0,4,22039.7003241
wdpa,1,1,1,1,BRA,12,9,25,1,6079.07030344
landmark,1,1,1,1,BRA,12,9,15,5,1519.63957552
ifl_2013,1,1,1,1,BRA,12,9,10,16,760.171033474
landmark,1,1,1,1,BRA,12,9,75,7,11676470.6365
ifl_2013,1,1,1,1,BRA,12,9,20,14,761.014736849
ifl_2013__landmark,1,1,1,1,BRA,12,9,50,12,16740.818143200002
ifl_2013__wdpa,1,1,1,1,BRA,12,9,50,16,139155.41633399998
ifl_2013,1,1,1,1,BRA,12,9,50,11,17493.1956801
admin,1,1,1,1,BRA,12,9,50,3,1646504.76166
admin,1,1,1,1,BRA,12,9,10,9,14423.361840700001
admin,1,1,1,1,BRA,12,9,0,5,119911.75164500001
ifl_2013,1,1,1,1,BRA,12,9,15,7,759.8534994519999
landmark,1,1,1,1,BRA,12,9,25,3,3799.46380055
landmark,1,1,1,1,BRA,12,9,25,12,2279.53137353
ifl_2013__wdpa,1,1,1,1,BRA,12,9,30,4,9890.46724046
ifl_2013__wdpa,1,1,1,1,BRA,12,9,30,14,7609.79934104
admin,1,1,1,1,BRA,12,9,75,14,37895526.308
ifl_2013,1,1,1,1,BRA,12,9,30,1,1522.45915927
landmark,1,1,1,1,BRA,12,9,50,8,83597.2837133
wdpa,1,1,1,1,BRA,12,9,0,2,236323.285485
ifl_2013__wdpa,1,1,1,1,BRA,12,9,50,14,65447.889648000004
admin,1,1,1,1,BRA,12,9,75,4,204457263.232
landmark,1,1,1,1,BRA,12,9,75,6,11574556.3699
ifl_2013,1,1,1,1,BRA,12,9,75,2,572537.044297
wdpa,1,1,1,1,BRA,12,9,30,16,36511.5801969
admin,1,1,1,1,BRA,12,9,15,6,40228.6312533
wdpa,1,1,1,1,BRA,12,9,25,15,3041.56750228
ifl_2013__wdpa,1,1,1,1,BRA,12,9,50,8,7605.66115457
landmark,1,1,1,1,BRA,12,9,15,8,9121.18827582
ifl_2013,1,1,1,1,BRA,12,9,30,10,1521.64584474
ifl_2013,1,1,1,1,BRA,12,9,30,5,4559.17746328
landmark,1,1,1,1,BRA,12,9,0,12,32672.6011351
wdpa,1,1,1,1,BRA,12,9,15,8,9121.18827582
landmark,1,1,1,1,BRA,12,9,30,10,32683.303296900005
ifl_2013__landmark,1,1,1,1,BRA,12,9,50,15,76063.07296810001
admin,1,1,1,1,BRA,12,9,30,16,1330546.24814
ifl_2013__wdpa,1,1,1,1,BRA,12,9,25,8,761.005510097
landmark,1,1,1,1,BRA,12,9,20,16,760.03348163
ifl_2013__wdpa,1,1,1,1,BRA,12,9,50,4,20545.784822999998
admin,1,1,1,1,BRA,12,9,15,15,177609.33518199998
wdpa,1,1,1,1,BRA,12,9,0,17,2282.04385648
admin,1,1,1,1,BRA,12,9,15,12,36434.836759
ifl_2013__landmark,1,1,1,1,BRA,12,9,25,15,2281.69846401
admin,1,1,1,1,BRA,12,9,75,5,127366415.798
wdpa,1,1,1,1,BRA,12,9,30,6,60797.2232053
landmark,1,1,1,1,BRA,12,9,15,17,760.199540289
admin,1,1,1,1,BRA,12,9,0,2,1379502.94178
admin,1,1,1,1,BRA,12,9,10,17,163181.937647
ifl_2013,1,1,1,1,BRA,12,9,30,6,3044.31945439
ifl_2013__landmark,1,1,1,1,BRA,12,9,30,10,1521.64584474
ifl_2013__landmark,1,1,1,1,BRA,12,9,25,16,3041.92067432
admin,1,1,1,1,BRA,12,9,0,6,201933.022833
ifl_2013__wdpa,1,1,1,1,BRA,12,9,15,8,2282.17703044
admin,1,1,1,1,BRA,12,9,50,8,1095373.47569
ifl_2013__wdpa,1,1,1,1,BRA,12,9,30,13,5325.42987642
wdpa,1,1,1,1,BRA,12,9,15,2,68393.67380240001
landmark,1,1,1,1,BRA,12,9,75,8,7775584.63953
ifl_2013__wdpa,1,1,1,1,BRA,12,9,75,14,2146610.77291
landmark,1,1,1,1,BRA,12,9,0,14,15961.394450299998
ifl_2013__wdpa,1,1,1,1,BRA,12,9,50,17,44089.795433499996
landmark,1,1,1,1,BRA,12,9,0,2,237083.07930100002
wdpa,1,1,1,1,BRA,12,9,50,4,272103.33281
ifl_2013__landmark,1,1,1,1,BRA,12,9,75,8,773795.498492
landmark,1,1,1,1,BRA,12,9,0,3,4560.1614457
admin,1,1,1,1,BRA,12,9,15,16,296002.12845
ifl_2013__landmark,1,1,1,1,BRA,12,9,20,14,761.014736849
ifl_2013__landmark,1,1,1,1,BRA,12,9,75,12,2502484.11835
ifl_2013,1,1,1,1,BRA,12,9,75,16,16332688.2389
wdpa,1,1,1,1,BRA,12,9,0,8,18997.147942900003
admin,1,1,1,1,BRA,12,9,20,7,6831.05050033
wdpa,1,1,1,1,BRA,12,9,75,4,49685667.8411
